last_update,location_type,state,county_name,county_name_long,fips_code,lat,lon,NCHS_urbanization,total_population,confirmed,confirmed_per_100000,deaths,deaths_per_100000
2021-02-12 00:23:16 UTC,county,Alabama,Autauga,"Autauga, Alabama, US",01001,32.53952745,-86.64408227,Medium metro,55200.0,5970,10815.22,81,146.74
2021-02-12 00:23:16 UTC,county,Alabama,Baldwin,"Baldwin, Alabama, US",01003,30.72774991,-87.72207058,Small metro,208107.0,18960,9110.7,240,115.33
2021-02-12 00:23:16 UTC,county,Alabama,Barbour,"Barbour, Alabama, US",01005,31.868263,-85.3871286,Non-core,25782.0,2030,7873.71,46,178.42
2021-02-12 00:23:16 UTC,county,Alabama,Bibb,"Bibb, Alabama, US",01007,32.99642064,-87.1251146,Large fringe metro,22527.0,2377,10551.78,54,239.71
2021-02-12 00:23:16 UTC,county,Alabama,Blount,"Blount, Alabama, US",01009,33.98210918,-86.56790593,Large fringe metro,57645.0,5955,10330.47,116,201.23
2021-02-12 00:23:16 UTC,county,Alabama,Bullock,"Bullock, Alabama, US",01011,32.10030533,-85.71265535,Non-core,10352.0,1136,10973.72,32,309.12
2021-02-12 00:23:16 UTC,county,Alabama,Butler,"Butler, Alabama, US",01013,31.75300095,-86.68057478,Non-core,20025.0,1886,9418.23,64,319.6
2021-02-12 00:23:16 UTC,county,Alabama,Calhoun,"Calhoun, Alabama, US",01015,33.77483727,-85.82630386,Small metro,115098.0,12539,10894.19,257,223.29
2021-02-12 00:23:16 UTC,county,Alabama,Chambers,"Chambers, Alabama, US",01017,32.91360079,-85.39072749,Micropolitan,33826.0,3305,9770.59,92,271.98
2021-02-12 00:23:16 UTC,county,Alabama,Cherokee,"Cherokee, Alabama, US",01019,34.17805983,-85.60638968,Non-core,25853.0,1738,6722.62,37,143.12
2021-02-12 00:23:16 UTC,county,Alabama,Chilton,"Chilton, Alabama, US",01021,32.85044126,-86.7173256,Large fringe metro,43930.0,3672,8358.75,87,198.04
2021-02-12 00:23:16 UTC,county,Alabama,Choctaw,"Choctaw, Alabama, US",01023,32.02227341,-88.2656443,Non-core,13075.0,542,4145.32,23,175.91
2021-02-12 00:23:16 UTC,county,Alabama,Clarke,"Clarke, Alabama, US",01025,31.68099859,-87.83548597,Non-core,24387.0,3367,13806.54,43,176.32
2021-02-12 00:23:16 UTC,county,Alabama,Clay,"Clay, Alabama, US",01027,33.26984193,-85.85836077,Non-core,13378.0,1386,10360.29,53,396.17
2021-02-12 00:23:16 UTC,county,Alabama,Cleburne,"Cleburne, Alabama, US",01029,33.67679204,-85.52005899,Non-core,14938.0,1335,8936.94,33,220.91
2021-02-12 00:23:16 UTC,county,Alabama,Coffee,"Coffee, Alabama, US",01031,31.39932826,-85.98901039,Micropolitan,51288.0,5125,9992.59,90,175.48
2021-02-12 00:23:16 UTC,county,Alabama,Colbert,"Colbert, Alabama, US",01033,34.69847452,-87.80168544,Small metro,54495.0,5906,10837.69,112,205.52
2021-02-12 00:23:16 UTC,county,Alabama,Conecuh,"Conecuh, Alabama, US",01035,31.43401703,-86.99320044,Non-core,12514.0,1045,8350.65,23,183.79
2021-02-12 00:23:16 UTC,county,Alabama,Coosa,"Coosa, Alabama, US",01037,32.93690146,-86.24847739,Micropolitan,10855.0,823,7581.76,22,202.67
2021-02-12 00:23:16 UTC,county,Alabama,Covington,"Covington, Alabama, US",01039,31.2477854,-86.45050893,Non-core,37351.0,3804,10184.47,96,257.02
2021-02-12 00:23:16 UTC,county,Alabama,Crenshaw,"Crenshaw, Alabama, US",01041,31.72941803,-86.31593104,Non-core,13865.0,1384,9981.97,51,367.83
2021-02-12 00:23:16 UTC,county,Alabama,Cullman,"Cullman, Alabama, US",01043,34.13020303,-86.86888037,Micropolitan,82313.0,8773,10658.1,169,205.31
2021-02-12 00:23:16 UTC,county,Alabama,Dale,"Dale, Alabama, US",01045,31.43037123,-85.61095742,Micropolitan,49255.0,4467,9069.13,103,209.12
2021-02-12 00:23:16 UTC,county,Alabama,Dallas,"Dallas, Alabama, US",01047,32.32688101,-87.1086671,Micropolitan,40029.0,3269,8166.58,126,314.77
2021-02-12 00:23:16 UTC,county,Alabama,DeKalb,"DeKalb, Alabama, US",01049,34.45946862,-85.80782906,Non-core,71200.0,8332,11702.25,162,227.53
2021-02-12 00:23:16 UTC,county,Alabama,Elmore,"Elmore, Alabama, US",01051,32.59785413,-86.14415284,Medium metro,81212.0,9033,11122.74,165,203.17
2021-02-12 00:23:16 UTC,county,Alabama,Escambia,"Escambia, Alabama, US",01053,31.1256789,-87.15918694,Non-core,37328.0,3685,9871.95,56,150.02
2021-02-12 00:23:16 UTC,county,Alabama,Etowah,"Etowah, Alabama, US",01055,34.04567266,-86.04051873,Small metro,102939.0,12889,12521.01,288,279.78
2021-02-12 00:23:16 UTC,county,Alabama,Fayette,"Fayette, Alabama, US",01057,33.72076938,-87.73886638,Non-core,16585.0,1935,11667.17,49,295.45
2021-02-12 00:23:16 UTC,county,Alabama,Franklin,"Franklin, Alabama, US",01059,34.44235334,-87.84289505,Non-core,31542.0,3937,12481.77,74,234.61
2021-02-12 00:23:16 UTC,county,Alabama,Geneva,"Geneva, Alabama, US",01061,31.09389027,-85.83572839,Small metro,26491.0,2336,8818.09,62,234.04
2021-02-12 00:23:16 UTC,county,Alabama,Greene,"Greene, Alabama, US",01063,32.85504247,-87.95684022,Non-core,8426.0,840,9969.14,32,379.78
2021-02-12 00:23:16 UTC,county,Alabama,Hale,"Hale, Alabama, US",01065,32.76039258,-87.63284988,Small metro,14887.0,2011,13508.43,57,382.88
2021-02-12 00:23:16 UTC,county,Alabama,Henry,"Henry, Alabama, US",01067,31.51148016,-85.24267944,Small metro,17124.0,1768,10324.69,39,227.75
2021-02-12 00:23:16 UTC,county,Alabama,Houston,"Houston, Alabama, US",01069,31.15197924,-85.29939599,Small metro,104352.0,9821,9411.42,244,233.82
2021-02-12 00:23:16 UTC,county,Alabama,Jackson,"Jackson, Alabama, US",01071,34.78144169,-85.99750489,Micropolitan,52094.0,6401,12287.4,86,165.09
